1,"Customers cədvəli üzrə active, inactive və blocked olan müştərinin sayları dəqiqləşdirin",1,NULL,0,2026-03-04 15:07:18.677
2,Customers -- Ən böyük yaşa malik müştəri tap.,1,NULL,0,2026-03-04 15:08:19.133
3,Customers -- Ən kişik yaşa malik müştəri tap.,1,NULL,0,2026-03-04 15:08:41.660
4,"Customers -- 25- yaşa qədər. 25–40, 40–60 və 60-yaşdan yuxarı müştəriləri qruplaşdır",1,NULL,0,2026-03-04 15:09:14.700
5,Customers -- müştərinin doğum tarixi və qeydiyyat tarixləri arasında uyğunluğu yoxla. səhvlik varmı? registrasiya tarixi > doğum tarixi-dirsə səhv var,1,NULL,0,2026-03-04 15:11:16.450
6,Customers -- qeydiyyat zamanı necə müştəri 18 yaşdan aşağı olub?,1,NULL,0,2026-03-04 15:11:28.977
7,Customers -- müştəri kişi və qadınlar olaraq 2 qrupa böl. Bunu necə edəcəyik? Məsələn soyadının sonu -ova və ya -eva dırsa qadındır.,1,NULL,0,2026-03-04 15:11:40.190
8,Customers -- eyni müştəri iki dəfə təkrarlanıbmı? (notional_id sütununa görə yoxla),1,NULL,0,2026-03-04 15:11:53.537
9,Customers -- şəhər və rayonlar üzrə müştərilər necə paylanıb?,1,NULL,0,2026-03-04 15:12:05.957
10,Customers -- hansı ildə nə qədər müştəri müraciəti olub?,1,NULL,0,2026-03-04 15:12:49.693
11,Accounts -- Neçə aktiv müştəri var?,1,NULL,0,2026-03-04 15:15:36.420
12,Accounts -- Statusa görə qruplaşdır,1,NULL,0,2026-03-04 15:15:54.043
13,"Accounts -- Ən böyük hesab qalığına malik müştəri. Valyutalar üzrə ayrı-ayrılıqda
",1,NULL,0,2026-03-04 15:16:33.497
14,"Accounts -- Ən kiçik hesab qalığına malik müştəri. Valyutalar üzrə ayrı-ayrılıqda
",1,NULL,0,2026-03-04 15:16:39.057
15,"Accounts -- Hər müştərinin neçə hesabı var?
",1,NULL,0,2026-03-04 15:17:41.757
